offer_id,offer_url,position_name,employer_name,benefit_workplace_adress,benefit_workplace_city,benefit_contracts,benefit_work_schedule,benefit_employment_type_name,work_modes,immediate_employment,many_vacancies,many_vacancies_count,salary_per_contract_section,remote_recruitment,ukrainian_friendly,it_specializations,salary_components,required_languages,work_hours,shift_work,work_days,paycheck_period,earning_amount,technologies_expected,technologies_optional,benefit_titles,responsibilities_section,requirements_section,offered_section,description_block,additional_module_section
1004111903,"https://www.pracuj.pl/praca/junior-web-developer-warszawa,oferta,1004111903?s=78322469&searchId=MTc0ODg1OTIyMjM2Mi41MjI1&ref=top_boosterAI_L0_1_1_1",Junior Web Developer,STAR HUNTO firmie,Warszawa,"Warszawa, mazowieckie","umowa o pracę, kontrakt b2b",pełny etat,młodszy specjalista (junior),praca hybrydowa,praca od zaraz,,,,,,"['Specjalizacje:\nFrontend, UX/UI']",,,,,,,,"['PHP', 'HTML', 'CSS', 'JavaScript', 'SCSS', 'jQuery', 'Bootstrap', 'Git', 'SVN', 'Zeppelin', 'MySQL', 'PostgreSQL', 'Microsoft SQL Server']","['React.js', 'NextJS']","['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'elastyczny czas pracy', 'zniżki na firmowe produkty i usługi', 'spotkania integracyjne', 'kawa / herbata', 'napoje', 'dofinansowanie wypoczynku', 'inicjatywy dobroczynne']","Twój zakres obowiązków
Rozwijanie autorskiego systemu e-commerce opartego o Word Press i WooCommerce
Budowa i rozwój systemu obsługi dedykowanych landing page’y
Praca nad integracją z systemami marketing automation oraz integracjami z innymi zewnętrznymi systemami
Wsparcie zarządzania treścią landing page’y i sklepów internetowych grupy","Wymagania pracodawcy
Doświadczenie (1-2 lata) w tworzeniu aplikacji webowych (m.in. PHP, HTML5, JavaScript, CSS3, CSS3: SCSS)
Znajomość Framework JQuery, Bootstrap
Znajomość WordPress (znajomość innych platform mile widziana)
Znajomość różnic i praktyczna umiejętność kodowania RWD
Umiejętność pracy z repozytorium (GIT, SVN)
Świadomość wzorców projektowych i metod optymalizacji i jakości kodu
Znajomość systemów CMS od strony programistycznej
Praca zgodnie z wytycznymi W3C: WCAG, WAI
Podstawowa znajomość baz danych (MySQL, MS SQL, PostgreSQL)
Doświadczenie w UX/UI (Zeppelin)
Mile widziana znajomość React, NextJS
Bardzo dobra znajomość języka angielskiego umożliwiająca swobodną komunikację i analizę dokumentacji technicznej
Samodzielność i poczucie odpowiedzialności za powierzone zadania
Umiejętność pracy w zespole, komunikatywność i pro-aktywność w działaniu
Chęć wykazania się własną inicjatywą i rozwojem w dziale marketingu","Pracodawca oferuje
Możliwość pracy z profesjonalistami marketingu
Rozwój zawodowy i możliwość realizacji samodzielnych zadań
Bardzo dobra atmosfera i przyjazne środowisko pracy (skandynawski model zarządzania)
Atrakcyjny pakiet wynagrodzenia z benefitami (opieka medyczna i karta sportowa, dofinansowanie do urlopu)
Umowę o pracę lub B2B
Praca w modelu hybrydowym (2-3 dni w biurze w tygodniu)","STAR HUNT
Przewiń do profilu firmy
Star Hunt jest butikową firmą rekrutacyjną specjalizującą się w rozwiązaniach w dziedzinie zasobów ludzkich I usługach doradztwa personalnego dla wiodących międzynarodowych firm. Spełniamy najbardziej wymagające zapotrzebowania w zakresie rekrutacji, pozyskując najlepsze talenty na całym rynku pracy.",
1004094662,"https://www.pracuj.pl/praca/junior-data-engineer-warszawa-jana-nowaka-jezioranskiego-53a,oferta,1004094662?s=78322469&searchId=MTc0ODg1OTIyMjM2Mi41MjI1&ref=top_boosterAI_L0_2_1_1",Junior Data Engineer,CLOUDFIDE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄAbout the company,Company location,"Jana Nowaka-Jeziorańskiego 53a, Praga-Południe, Warszawa","contract of mandate, b2b contract",full-time,junior specialist (junior),home office work,immediate employment,,,,,запрошуємо працівників з україни,['Specializations:\nBig Data / Data Science'],"Model of payment:
basic salary",,,,,,,"['Microsoft Azure', 'Google Cloud Platform', 'AWS', 'Python', 'SQL']","['PostgreSQL', 'Microsoft SQL Server', 'Apache Spark', 'Databricks', 'Azure DevOps', 'Apache Airflow']","['sharing the costs of sports activities', 'private medical care', 'sharing the costs of professional training & courses', 'remote work opportunities', 'flexible working time', 'integration events']","Your responsibilities
Implementing, and optimizing modern cloud-based solutions.
Building and launching new data models and data pipelines.
Implementing best practices in data engineering including data integrity, quality, and documentation.
Optimization of existing analytical solutions.
Leading small size teams of engineers and being a role model.","Our requirements
1+ years of experience delivering data warehouse, data lake, or business intelligence solutions.
Experience with cloud services such as Azure, AWS, or GCP.
Proficient in Python for data-related tasks.
Strong understanding of SQL, including data analysis and working with relational databases (e.g., SQL Server, PostgreSQL).
Basic knowledge of public cloud architecture, security, and networking concepts (MS Azure experience preferred).
Familiarity with data warehouse modeling practices and ETL/ELT development.
Strong conceptual and analytical skills to solve data-related challenges.
Optional
Experience with Apache Spark or Databricks platform.
Experience with Azure DevOps environment.
Experience with Apache Airflow.","What we offer
BENEFITS: Regardless of the form of employment - Budget for your professional development - training and certification. MyBenefit cafeteria (with Multisport). Medicover medical care. Team-building meetings and trips.
FLEXIBILITY: Enjoy the freedom of working from anywhere, and have a genuine say on our tools, tech, and solutions.
STABILITY: Stable and long-term employment (employment contract, B2B).
START-UP CULTURE: Open communication, creative problem solving and a flat hierarchy.
GROWTH: Skyrocket your career by exploring new territories – you can work on various projects related to Big Data and Cloud.
COLLABORATION: Be part of our diverse, passionate team, where every voice matters. Work in a company full of well-coordinated people who do their work with passion and commitment.","CLOUDFIDE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
Scroll to company's profile
At CLOUDFIDE, we do everything with data and contribute to pivotal projects for Fortune 500 companies. This is your chance to enhance your skills and leave your global footprint.
Our collaborative culture champions your professional growth. Dive into cloud data processing, gain hands-on big data experience, and leverage our team's expertise to drive your professional growth.
Here you'll have an opportunity to use advanced technologies to shape client strategies. With CLOUDFIDE, you can amplify your career alongside the industry's best.","EQUAL OPPORTUNITY
CLOUDFIDE is an Equal Opportunity Employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
1004096214,"https://www.pracuj.pl/praca/mlodszy-specjalista-w-dziale-systemow-i-analiz-zakupowych-warszawa-mszczonowska-4,oferta,1004096214?s=78322469&searchId=MTc0ODg1OTIyMjM2Mi41MjI1&ref=top_boosterAI_L1_3_1_1",Młodszy Specjalista w Dziale Systemów i Analiz Zakupowych,OPERATOR GAZOCIĄGÓW PRZESYŁOWYCH GAZ-SYSTEM S.A.O firmie,"Mszczonowska 4, Ochota, Warszawa","Warszawa, mazowieckie",umowa o pracę,pełny etat,młodszy specjalista (junior),praca stacjonarna,,,,,,,[],"System wynagrodzeń:
trzynasta pensja",,,,,,,[],[],"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie szkoleń i kursów', 'ubezpieczenie na życie', 'program emerytalny', 'preferencyjne pożyczki', 'dofinansowanie wypoczynku']","Twój zakres obowiązków
przygotowywanie analiz z całego obszaru zakupów dotyczących: realizacji planu zamówień, prowadzonych postępowań zakupowych, zawierania umów, , projektów strategicznych, gospodarki magazynowej, współpracy z dostawcami itp.
tworzenie nowych rodzajów raportów, ich wizualizacji wraz z analizą trendów i zmian
usprawnianie i optymalizacja narzędzi analitycznych i systemu raportowania
monitorowanie i nadzór nad systemami informatycznymi wspomagającymi procesy zakupowe realizowane w Spółce, w tym udział w projektach dotyczących wdrażania nowych funkcjonalności
aktualizacja danych menedżerskich dla Zarządu Spółki
cykliczne raportowanie na rzecz innych jednostek Spółki","Nasze wymagania
wykształcenie wyższe / w trakcie studiów
praktyczna znajomość zagadnień związanych z przetwarzaniem i analizą dużej ilości danych
znajomość obsługi pakietu MS Office w szczególności programu MS Excel – poziom średniozaawansowany, MS Power Point – poziom podstawowy/średniozaawansowany
umiejętność analitycznego myślenia
umiejętność pracy z dużą ilością danych
terminowość
dokładność
samodzielność
umiejętność pracy pod presja czasu
Mile widziane
wykształcenie wyższe preferowane z dziedziny nauk ścisłych i przyrodniczych lub nauk inżynieryjno-technicznych lub nauk społecznych
praktyki realizowane w obszarze analiz, raportowania, zakupów
znajomość zagadnień związanych z analityką zakupową, raportowaniem i sprawozdawczością
znajomość systemu SAP
znajomość języka angielskiego na poziomie B1/B2
prawo jazdy kat. B","To oferujemy
możliwość rozwoju zawodowego, wpływ na obszar analiz zakupowych spółki
udział w ciekawych projektach rozwojowych
zatrudnienie w firmie o strategicznym znaczeniu dla gospodarki kraju
wysokie standardy bezpieczeństwa pracy
profesjonalne narzędzia pracy
możliwość współpracy z ekspertami z branży
program onboardingowy oraz wsparcie opiekuna w okresie wdrożeniowym","OPERATOR GAZOCIĄGÓW PRZESYŁOWYCH GAZ-SYSTEM S.A.
Przewiń do profilu firmy
GAZ-SYSTEM to spółka o strategicznym znaczeniu dla polskiej gospodarki i jej bezpieczeństwa energetycznego. Zarządzamy siecią przesyłową na terenie całego kraju i umożliwiamy transport 17 miliardów m3 wysokometanowego gazu rocznie. Odpowiadamy za całość procesu: transport od stacji początkowej do końcowego odbiorcy. Nasze największe inwestycje w obszarze energetyki gazowej to: Terminal LNG w Świnoujściu, gazociąg  Baltic Pipe, Terminal FSRU w Zatoce Gdańskiej. Rozwijamy także nowoczesne technologie i inicjujemy innowacje w branży energetycznej. Dajemy stabilne zatrudnienie blisko 3500 osobom w 54 lokalizacjach w Polsce. Pracujemy z poszanowaniem natury i w kulturze dialogu.","Miejsce świadczenia pracy:
Centrala Spółki Pion Zakupów
Warszawa, 02-337 Warszawa, ul. Mszczonowska 4
Oferty prosimy nadsyłać do: 13 czerwca 2025 r."
1004107866,"https://www.pracuj.pl/praca/junior-business-analyst-warszawa,oferta,1004107866?s=78322469&searchId=MTc0ODg1OTIyMjM2Mi41MjI1&ref=top_boosterAI_L0_4_1_1",Junior Business Analyst,B2B.NET S.A.About the company,Company location,Warszawa,b2b contract,full-time,junior specialist (junior),home office work,immediate employment,,,,,,['Specializations:\nBusiness analytics'],,,,,,,,['Microsoft Excel'],[],"['sharing the costs of sports activities', 'private medical care']","Your responsibilities
Ability to see what needs to be done, both in the short and long term
Solution oriented mindset, can-do approach in dealing with challenges
Previous experience working tax related assignments
Data analytics skills
Courage to share own opinions and come up with own ideas
Openness to drive, implement and enable others to change and improve things around
Strong skills in building partnership relations with stakeholders
Focus on delivering high quality service to customer","Our requirements
Advanced level of English (read, written)
Excellent communication skills on different business levels with ability to build partnership business relations
Knowledge about Lean and continuous improvements
Knowledge of Microsoft Office tools (MS Excel, Word, PowerPoint)
Optional
Preferable previous experience in a back-office position",,"B2B.NET S.A.
Scroll to company's profile
B2Bnetwork jest polską firmą, specjalizującą się w obszarze Quality Assurance oraz Outsourcingu specjalistów IT. Od 2015r. zarządzamy w całości procesami testowymi u naszych klientów oraz wspieramy w znalezieniu odpowiednich kompetencji w innych obszarach IT.",
1004093823,"https://www.pracuj.pl/praca/mlodszy-analityk-rynku-nieruchomosci-warszawa-aleja-jana-pawla-ii-27,oferta,1004093823?s=78322469&searchId=MTc0ODg1OTIyMjM2Mi41MjI1",Młodszy Analityk Rynku Nieruchomości,EVALUER sp. z o.o.O firmie,"aleja Jana Pawła II 27, Wola, Warszawa","Warszawa, mazowieckie","umowa o pracę, umowa zlecenie",pełny etat,młodszy specjalista (junior),praca stacjonarna,praca od zaraz,szukamy wielu kandydatów,,,,,[],,,,,,,,[],[],[],"Twój zakres obowiązków
Co będziesz robić?
· Wyszukiwać, porządkować i analizować dane dotyczące rynku nieruchomości,
· Przygotowywać raporty, zestawienia i prezentacje danych (głównie w Excelu i PowerPoint),
· Tworzyć mapy i analizy przestrzenne w QGIS,
· Pisać komentarze rynkowe, artykuły i krótkie treści eksperckie dla mediów oraz klientów,
· Współtworzyć, aktualizować i weryfikować bazy danych nieruchomości,
· Reprezentować firmę podczas konferencji i wydarzeń branżowych.","Nasze wymagania
Kogo szukamy?
· Osób z podstawową wiedzą o rynku nieruchomości – praktyczną lub zdobytą na studiach (gospodarka przestrzenna, urbanistyka, geografia lub pokrewne),
· Lubiących pracować z danymi i potrafiących wyciągać z nich trafne wnioski,
· Dobrze znających MS Excel i PowerPoint,
· Znających podstawy QGIS lub chętnych się go nauczyć,
· Dokładnych, odpowiedzialnych, samodzielnych i gotowych do pracy zespołowej,
· Otwartych, komunikatywnych i pozytywnie nastawionych – doceniamy zapał i świeże spojrzenie.","To oferujemy
Co oferujemy?
· Umowę o pracę i stabilne zatrudnienie,
· Możliwość pracy przy ciekawych projektach,
· Realny wpływ na to, co robisz – Twoje analizy nie trafią do szuflady, tylko do klientów, mediów i ekspertów,
· Współpracę z doświadczonymi analitykami i praktykami rynku – nauczysz się więcej niż na studiach,
· Otwartą i niekorporacyjną atmosferę – bez zbędnych formalności i sztywnego dress code’u,
· Nowoczesne biuro w centrum Warszawy – dobrze skomunikowane, z fajną przestrzenią do pracy i miejscem na kawę.
Dlaczego warto?
To nie jest nudna praca „w Excelu”. U nas Twoje analizy naprawdę coś znaczą.",,
1004106824,"https://www.pracuj.pl/praca/operations-analyst-warszawa-promienna-38,oferta,1004106824?s=78322469&searchId=MTc0ODg1OTIyMjM2Mi41MjI1",Operations Analyst,Fenige S.A.About the company,"Promienna 38, Targówek, Warszawa","Warszawa, Masovian",contract of employment,full-time,"specialist (mid / regular), junior specialist (junior)",hybrid work,immediate employment,,,,,,['Specializations:\nSystem analytics'],,,,,,,,[],[],"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of professional training & courses', 'flexible working time', 'fruits', 'integration events', 'no dress code', 'coffee / tea', 'parking space for employees', 'christmas gifts', 'employee referral program', 'charity initiatives', 'extra leave']","Your responsibilities
Support day-to-day operational activities associated with payment processing
Collaborate with the operational compliance team to implement new mandates within internal system
Analyze rapidly changing Visa & Mastercard documentation and mandates, assess their impact on the system, and translate business needs into clear requirements for the development team in JIRA
Analyze and summarize transaction data to identify opportunities for improving transactional acceptance rates
Write SQL queries, work with data, and provide in-depth analysis to solve existing issues
Work closely with partners, banks, payment institutions, Visa, and Mastercard to improve acceptance rates
Support technical compliance matters and internal projects
Evaluate existing operation processes and identify areas for improvement, which include collaboration with other teams to streamline workflows, increasing efficiency, and implementation of automation solutions where applicable
Prepare reports for management","Our requirements
Strong English communication skills (written & verbal)
Experience in data analysis and business process evaluation
High attention to detail and a structured approach to problem-solving
Fundamental understanding of IT workflows and project management principles
A proactive mindset with the ability to make independent decisions
Ability to translate technical information into business-friendly language and vice versa
SQL knowledge for data analysis
Knowledge of card processing and experience with Visa & Mastercard systems is a plus
Experience with Power BI is a plus","What we offer
Friendly, startup's atmosphere
Opportunity to gain experience in a rapidly growing fin-tech company
A lot of independence, a flat organization structure and the opportunity to implement your ideas
Private medical care
Hybrid workplace model
Support of managers – we give a lot of freedom of action, but do not leave without help – we work as a team
Trainings, development opportunities
Access to the MyBenefit platform (e.g. Multisport card), fruits, integration events, massages in the office","Fenige S.A.
Scroll to company's profile
Fenige is a dynamically developing Polish fintech that implements payment technologies for merchants and money transfer systems within Mastercard and VISA payment organizations. Being a principal acquiring member, it offers acquiring (e-commerce), card-to-card transfers and card withdrawals.
Our team consists of individuals who are passionate and energetic, always ready to give their full commitment. We believe in what we do, which is why we're seeking individuals who share our mindset.
www.fenige.pl",
1004121599,"https://www.pracuj.pl/praca/asystent-asystentka-w-zespole-master-data-warszawa-tasmowa-10,oferta,1004121599?s=78322469&searchId=MTc0ODg1OTIyMjM2Mi41MjI1",Asystent / Asystentka w zespole Master Data,DSV GBSO firmie,"Taśmowa 10, Mokotów, Warszawa","Warszawa, mazowieckie",umowa o pracę,pełny etat,asystent,praca hybrydowa,,,,,,,[],,"Wymagane języki:
angielski",,,,,,[],[],"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'ubezpieczenie na życie', 'siłownia w biurze', 'dofinansowanie wypoczynku', 'paczki świąteczne', 'inicjatywy dobroczynne', 'nowoczesne i ergonomiczne eko-biuro', 'parking rowerowy', 'firmowa kantyna', 'wczasy pod gruszą']","Twój zakres obowiązków
Tworzenie, aktualizacja i weryfikacja danych w systemach DSV dla globalnych interesariuszy
Międzynarodowa współpraca w celu zapewnienia najlepszej spójności i jakości danych
Czyszczenie danych zgodnie z globalnymi standardami
Aktywny udział w testach nowych narzędzi programowych
Monitorowanie i analiza danych w celu identyfikacji i rozwiązania problemów
Raportowanie statusu projektów do interesariuszy DSV
Działanie jako pierwsza linia kontaktu dla użytkowników końcowych
Współpraca z zespołami IT w celu dalszego rozwoju obecnych systemów danych","Nasze wymagania
Bardzo dobra znajomość pakietu MS Office – w szczególności MS Excel
Bardzo dobra znajomość języka angielskiego (minimum na poziomie B1)
Otwartość na nowe doświadczenia i gotowość do nauki
Skupienie na celach i dbałość o szczegóły
Mile widziane
Pierwsze doświadczenie w obszarze analizy danych","To oferujemy
Umowę o pracę
Prywatną opiekę medyczną
Karta Multisport
Program wdrożeniowy (buddy)
Praca w nowoczesnym biurze
Kantyna pracownicza
Skandynawska kultura pracy
Szkolenia wewnętrzne
Przejścia wewnętrzne
Prezenty świąteczne
Grupy sportowe
Parking rowerowy","DSV GBS
Przewiń do profilu firmy
Grupa DSV to jedna z czołowych firm z branży TSL (transport, spedycja, logistyka) na świecie. Nasza główna siedziba znajduje się w Danii, pozostałe – w ponad 90 krajach świata.
W DSV działają 3 spółki operacyjne: DSV Air&Sea | DSV Road | DSV Contract Logistics.
Oprócz nich w Polsce znajdują się także: DSV GBS | DSV Services.
DSV Global Business Services (DSV GBS) z siedzibą w Warszawie dynamicznie się rozwija. Zatrudniamy ponad 1500 fantastycznych pracowników, a ta liczba wciąż wzrasta.
W DSV zatrudniamy m.in. w obszarach: Finance & Accounting, Claims, Customs, IT, Process Automation, Customer Reporting & Data Quality, HR & Administration, Back Office.",
1004127749,"https://www.pracuj.pl/praca/junior-data-analyst-warszawa,oferta,1004127749?s=78322469&searchId=MTc0ODg1OTIyMjM2Mi41MjI1",Junior Data Analyst,Connectis_O firmie,Warszawa,"Warszawa, mazowieckie",umowa zlecenie,pełny etat,młodszy specjalista (junior),praca stacjonarna,,,,,,,['Specjalizacje:\nBig Data / Data Science'],,,,,,,"35,00–45,00zł",[],[],[],"Twój zakres obowiązków
Aktualizacja danych w systemach banku zgodnie z obowiązującymi procedurami.
Współpraca z innymi działami w celu skutecznego przebiegu procesu aktualizacji danych.
Weryfikacja danych klientów w systemach bankowych (CRM, workflow).
Identyfikacja brakujących lub nieaktualnych informacji i dokumentów.
Zapewnienie wysokiej jakości i kompletności przetwarzanych danych.","Nasze wymagania
Zainteresowanie pracą z danymi, liczbami i dokumentami – mile widziane osoby, które lubią porządkować informacje i pracować z systemami.
Dobrze rozwinięte zdolności analityczne oraz umiejętność dostrzegania detali i wychwytywania nieścisłości.
Gotowość do pracy z powtarzalnymi procesami w dynamicznym środowisku.
Skrupulatność, dokładność i dbałość o jakość wykonywanej pracy.
Gotowość do pracy stacjonarnej - Warszawa.","To oferujemy
Możliwość uczestnictwa w spotkaniach integracyjnych oraz meetupach technologicznych, gdzie będziesz mógł/mogła dzielić się wiedzą i doświadczeniem.
Wsparcie dedykowanego opiekuna Connectis, który zawsze jest dostępny, by pomóc Ci w sprawach związanych z projektem.
Rozwój kariery i długofalową współpracę w firmie o ugruntowanej pozycji na rynku.
5000 PLN za polecenie znajomego do naszych projektów.
Praca z nowoczesnego biura w Warszawie.
Szybki, zdalny proces.","Connectis_
Przewiń do profilu firmy
Connectis_ to ponad 20 lat doświadczenia w branży, 60.000 Specjalistów IT i tysiące projektów zrealizowanych w 14 krajach.",Dziękujemy za wszystkie zgłoszenia. Pragniemy poinformować że skontaktujemy się z wybranymi osobami.
1004109364,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-danych-i-raportowania-warszawa,oferta,1004109364?s=78322469&searchId=MTc0ODg1OTIyMjM2Mi41MjI1",Młodszy specjalista ds. danych i raportowania,Cofidis S.A. (Spółka Akcyjna) Oddział w PolsceO firmie,Warszawa,"Warszawa, mazowieckie",umowa o pracę,pełny etat,młodszy specjalista (junior),praca hybrydowa,,,,,,,[],,,,,,,,[],[],"['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'ubezpieczenie na życie', 'owoce', 'spotkania integracyjne', 'firmowa drużyna sportowa', 'brak dress code’u', 'kawa / herbata', 'bony żywieniowe', 'dofinansowanie biletów do kina, teatru', 'paczki świąteczne', 'program rekomendacji pracowników', 'inicjatywy dobroczynne']","Twój zakres obowiązków
Przygotowywanie raportów dotyczących różnych obszarów firmy
Praca z bazami danych, wizualizacja danych
Badanie zależności pomiędzy danymi w cyklu życia klienta
Współpraca przy tworzeniu i automatyzacji cyklicznych raportów zarządczych","Nasze wymagania
Znajomość pakietu MS Office w tym bardzo dobra znajomość Excela
Doświadczenie zdobyte w obszarze analizy danych i pracy z bazami danych będzie dodatkowym atutem
Znajomość SQL będzie dodatkowym atutem
Umiejętności analityczne, myślenie koncepcyjne i umiejętność wyciągania wniosków
Zdolności komunikacyjne, łatwość w nawiązywaniu kontaktów","To oferujemy
Praca hybrydowa w systemie 3/2,
Praca w stabilnej instytucji finansowej,
System premiowy związany z Twoimi wynikami,
Przyjazną atmosferę pracy,
Brak dress code’u,
Elastyczne warunki zatrudnienia,
Atrakcyjny pakiet pracowniczy","Cofidis S.A. (Spółka Akcyjna) Oddział w Polsce
Przewiń do profilu firmy
Cofidis S.A Oddział w Polsce jest częścią francuskiej grupy finansowej Cofidis Group specjalizującej się w finansowaniu zakupu pojazdów.
Grupa Cofidis została utworzona w 1982 r. we Francji, a od 2007 r. Cofidis S.A. działa z sukcesem na rynku polskim.
W tym roku, ponownie otrzymaliśmy wyróżnienie Great Place To Work-CertifiedTM. Przyznanie certyfikacji kwalifikuje naszą Firmę do grona kandydatów w konkursie na Najlepsze Miejsca PracyTM Polska 2024. Wyróżnienie jest szczególne, gdyż przyznawane jest na podstawie opinii Naszych Pracowników.
Mamy dla Ciebie ofertę pracy z gwarantowaną stawką podstawową oraz dodatkowymi bonusami.","Aplikacje zawierające curriculum vitae prosimy przesyłać klikając APLIKUJ pod ogłoszeniem.
Zapraszamy do nas! Chcemy Cię poznać :)"
1004126743,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-raportowania-i-analizy-danych-warszawa,oferta,1004126743?s=78322469&searchId=MTc0ODg1OTIyMjM2Mi41MjI1",Młodszy specjalista ds. raportowania i analizy danych,OEX Cursor S.A.O firmie,Warszawa,"Warszawa, mazowieckie","umowa zlecenie, kontrakt b2b",pełny etat,"asystent, młodszy specjalista (junior)",praca stacjonarna,praca od zaraz,,,,,,"['Specjalizacje:\nBig Data / Data Science, System analytics']","System wynagrodzeń:
stała podstawa wynagrodzenia",,,,,,,['Microsoft Excel'],"['Power Query', 'Power BI']","['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'ubezpieczenie na życie', 'profesjonalne szkolenie', 'Darmowy dostęp do platformy językowej', 'zniżki na studia w sieci uczelni WSB Merito']","Twój zakres obowiązków
Obsługa projektów pod względem analitycznym, raportowym i systemowym
Przygotowywanie danych do raportowania, dbanie o ich jakość i monitorowanie wyników
Przygotowywanie prezentacji i wizualizacji danych
Współpraca z innymi działami w ramach bieżących obowiązków i trwających projektów","Nasze wymagania
Bardzo dobra i praktyczna znajomość MS Excel
Znajomość języka angielskiego min. B2
Zdolność do wyciągania wniosków na podstawie analizy danych
Komunikatywność, samodzielność i zaangażowanie
Otwartość na zmiany i chęć dostosowania się do dynamicznego środowiska
Mile widziane
Znajomość Power BI i Power Query","To oferujemy
Stabilne zatrudnienie w firmie, działającej ponad 20 lat na rynku
Zatrudnienie w oparciu o kontrakt B2B lub UZ
Możliwość rozwoju zawodowego i ciągłego podnoszenia kwalifikacji zawodowych
Szkolenia (zarówno specjalistyczne jak i interpersonalne)
Zespół dzielący się wiedzą i doświadczeniem
Pracę w trybie hybrydowym po okresie wdrożenia
Wygodne biuro dopasowane do różnych stylów pracy
Udział w wydarzeniach integracyjnych
Dostęp do benefitów firmowych (karta sportowa, prywatna opieka medyczna, dodatkowe ubezpieczenie na życie, platforma językowa)","OEX Cursor S.A.
Przewiń do profilu firmy
Jesteśmy liderem wśród firm świadczących usługi wsparcia sprzedaży i marketingu.
Naszą główną siłą są ludzie. To dzięki sumiennym i dobrze wyszkolonym pracownikom jesteśmy w stanie działać szybko i sprawnie, niezależnie od poziomu złożoności zlecenia.
W ostatnim czasie zostaliśmy wyróżnieni certyfikatem Great Place to Work, Friendly Workplace oraz Best Quality Employer. Każdego dnia dokładamy wszelkich starań, by tworzyć przyjazne środowisko pracy.
Więcej o nas dowiesz się na stronie: www.oexcursor.pl",
