offer_id,offer_url,position_name,employer_name,benefit_workplace_adress,benefit_workplace_city,benefit_contracts,benefit_work_schedule,benefit_employment_type_name,work_modes,immediate_employment,many_vacancies,many_vacancies_count,salary_per_contract_section,remote_recruitment,ukrainian_friendly,it_specializations,salary_components,required_languages,work_hours,shift_work,work_days,paycheck_period,earning_amount,technologies_expected,technologies_optional,benefit_titles,responsibilities_section,requirements_section,offered_section,description_block,additional_module_section
1004137564,"https://www.pracuj.pl/praca/solution-architect-warszawa-pulawska-2,oferta,1004137564?s=1081ea4f&searchId=MTc0OTMwMjM3MzIzMi45ODM2&ref=top_boosterAI_L0_1_1_1",Solution Architect,SQUARE ONE RESOURCES sp. z o.o.About the company,Company location:,"Puławska 2, Ursynów, Warszawa(Masovian)",b2b contract,full-time,specialist (mid / regular),home office work,immediate employment,,,,,,"['Specializations:\nArchitecture, Backend']",,,,,,,,"['SAP Business Technology Platform', 'APIs', 'REST', 'OData', 'SOAP', 'SAP CPI', 'Grafana', 'Prometheus', 'SAP Cloud ALM']","['ArchiMate', 'C4', 'Sparx EA', 'Lucidchart']",[],"Your responsibilities
Solution Design & Integration
Architecture Governance & Documentation
SAP Business Technology Platform (BTP)
Vendor & Stakeholder Engagement
Technology Leadership & Best Practices
Promote adoption of architectural best practices, patterns, and tools.
Drive technical decisions in line with data integrity, security, and compliance requirements (e.g., GxP, HIPAA).
Architecture Ceremonies & Collaboration
Organize and facilitate architecture ceremonies (e.g., design reviews, tech deep-dives, retros).
Foster collaboration between development, infrastructure, security, and compliance teams.
Healthcare & CGT Context
Understand specific challenges and workflows in the CGT domain, such as chain of identity/custody, PHI/PII, etc...
Ensure architectural decisions support regulatory, data privacy, and traceability needs.
End-to-End Monitoring & Observability","Our requirements
5+ years of experience in solution architecture or a related field.
Hands-on experience with SAP Business Technology Platform (SAP BTP) services such as Integration Suite, Extension Suite, Event Mesh.
Proven knowledge of integrating SAP and non-SAP systems using BTP tools.
Proficiency in designing enterprise and middleware integrations with APIs (REST, OData, SOAP), SAP CPI or other middleware platforms.
Understanding of regulated environments such as Healthcare and Pharma, with knowledge of GxP, HIPAA, PHI/PII, data traceability, and compliance-by-design.
Optional
Experience with monitoring and observability tools (e.g., Grafana, Prometheus, SAP Cloud ALM).
Familiarity with agile architecture practices, including ceremonies and collaboration with DevOps/SecOps teams.
Proficiency in using architecture modeling tools such as ArchiMate, C4, Sparx EA, or Lucidchart.
Strong communication skills with the ability to translate business needs into scalable technical designs.",,"SQUARE ONE RESOURCES sp. z o.o.
Scroll to company's profile
At Square One Poland we link IT experts with the business. With over 25 years of experience, we specialize in recruitment processes on a global scale. Despite years of experience, we still have a startup DNA and this is our advantage. Our offices are located in London and Warsaw, however, we can reach clients from all over the world, from start-ups to big worldwide corporations.",
1004135710,"https://www.pracuj.pl/praca/technical-artist-warszawa-dluga-29,oferta,1004135710?s=1081ea4f&searchId=MTc0OTMwMjM3MzIzMi45ODM2&ref=top_boosterAI_L0_2_1_1",Technical Artist,ITP IT PERFORMANCE sp. z o.o.O firmie,Siedziba firmy:,"Długa 29, Śródmieście, Warszawa(mazowieckie)",umowa o dzieło,pełny etat,specjalista (mid / regular),"praca zdalna, praca hybrydowa",praca od zaraz,,,,,,['Specjalizacje:\nGame dev'],,,,,,,,[],['C++'],[],"Twój zakres obowiązków
Tworzenie i implementacja shaderów, materiałów oraz systemów graficznych w Unreal Engine
Optymalizacja grafiki z wykorzystaniem LOD oraz technik streamingu assetów
Współpraca z zespołem artystycznymi i programistami w celu wdrożenia rozwiązań technicznych
Rozwiązywanie problemów związanych z wydajnością i jakością grafiki
Diagnozowanie i rozwiązywanie problemów technicznych z zakresu renderingu, kolizji, shaderów","Nasze wymagania
Doświadczenie na stanowisku Technical Artist w branży gier
Znajomość Unreal Engine 4/5 i C++/Blueprint
Doświadczenie z shaderami
Doświadczenie z systemami LOD (Level of Detail)
Doświadczenie ze streamingiem assetów
Umiejętność współpracy z zespołem i rozwiązywania problemów technicznych
Komunikatywność, pro-aktywność i dobra organizacja pracy","To oferujemy
100% pracy zdalnej lub w modelu hybrydowym (biuro w Warszawie)
B2B lub Umowa o Dzieło","ITP IT PERFORMANCE sp. z o.o.
Przewiń do profilu firmy
Jako ITP IT Performance specjalizujemy się w outsourcingu, konsultingu i rekrutacji głównie w obszarze IT.",
1004133078,"https://www.pracuj.pl/praca/javascript-solidity-developer-defi-warszawa-gieldowa-5,oferta,1004133078?s=1081ea4f&searchId=MTc0OTMwMjM3MzIzMi45ODM2&ref=top_boosterAI_L0_3_1_1",JavaScript / Solidity Developer (DeFi),Match-Trade TechnologiesO firmie,"Giełdowa 5, Wola, Warszawa(mazowieckie)",,"umowa o pracę, umowa zlecenie, kontrakt b2b",pełny etat,specjalista (mid / regular),praca stacjonarna,praca od zaraz,,,,,запрошуємо працівників з україни,['Specjalizacje:\nFrontend'],,,,,,,,"['DeFi', 'JavaScript', 'web3.js', 'ethers.js']","['Solidity', 'Rust']","['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'dofinansowanie nauki języków', 'dofinansowanie szkoleń i kursów', 'elastyczny czas pracy', 'owoce', 'spotkania integracyjne', 'brak dress code’u', 'napoje', 'pakiet relokacyjny', 'inicjatywy dobroczynne', 'dodatkowy urlop']","Twój zakres obowiązków
W ramach projektu przyszły pracownik będzie miał możliwość:
• rozwoju nowych funkcjonalności w systemie rozproszonym,
• integracji z DEXam oraz innymi aplikacjami DeFi,
• implementacji smart kontraktów odpowiedzialnych za dokonywanie transakcji,
• dokładnego testowania oraz debugowania smart kontraktów,
• optymalizacji istniejących rozwiązań w celu polepszenia naszej efektywności na rynku,
• decydowania o użytych technologiach,
• rozwiązywania problemów oraz proponowania własnych pomysłów, ponieważ wysoko cenimy samodzielność, kreatywność i otwartość na wdrażanie nowych rozwiązań naszych pracowników,
• zdobywania wiedzy z branży tradingowej poprzez m.in. permanentną współpracę z quantami oraz traderami,
• szybkiego rozwoju poprzez korzystanie z nowoczesnych technologii w środowisku pracy dalekim od skostniałej struktury i kultury korporacyjnej.","Nasze wymagania
Szukamy osób, które:
• posiadają wykształcenie wyższe lub są w trakcie studiów,
• pasjonują się tematyką DeFi oraz chcą się w niej rozwijać,
• posiadają praktyczną wiedzę na temat JavaScript (ES6/TS) oraz bibliotek takich jak web3.js, ethers.js,
• potrafią pisać czysty, testowalny kod,
• znają podstawowe zagadnienia sieciowe oraz wielowątkowe,
• znają wzorce projektowe i potrafią je optymalnie wykorzystywać,
• posiadają wysoko rozwinięte zdolności analityczne, otwarty umysł oraz są gotowe do nieszablonowego myślenia,
• chcą się rozwijać i chętnie współpracują w zespole,
• znają język angielski na poziomie pozwalającym na swobodną komunikację,
• interesują się lub chcą rozpocząć swoją karierę w obszarze tradingu na rynku kryptowalut,
• potrafią tworzyć i testować smart kontrakty w języku Solidity lub Rust (mile widziane).","To oferujemy
osobom pracującym u nas na kontrakcie B2B oferujemy 30 dni płatnej przerwy od świadczenia usług, a w przypadku osób na umowie zlecenie - 24 dni,
pracujemy w nowoczesnym biurze w centrum Warszawy o dogodnym dojeździe komunikacją miejską,
choć nie jesteśmy korporacją i panuje u nas nieformalna atmosfera to kluczem naszej silnej pozycji na rynku jest wysoce profesjonalna postawa oraz zaangażowanie naszych teamów,
zapewniamy pełne wdrożenie z wykorzystywanych technologii oraz systemów,
jesteśmy otwarci na współpracę z osobami z różnych części Polski, dlatego wspieramy ich relokację do Warszawy poprzez pakiet relokacyjny,
inwestujemy w rozwój zawodowy. Posiadamy budżet szkoleniowy, z którego każdy pracownik może skorzystać po okresie próbnym,
wszyscy pracownicy, niezależnie od stażu pracy i formy zatrudnienia, mają dostęp do pakietu prywatnej opieki medycznej Lux Med, który w całości opłaca firma,
każdego roku organizujemy weekendowy wyjazd integracyjny, który jest pełen różnorodnych atrakcji, tak aby każdy mógł się dobrze bawić i zrelaksować,
mamy ""Pizza Fridays"" oraz często organizujemy wyjścia integracyjne,
nie mamy dress code'u,
jesteśmy otwarci na pomysły i inicjatywny naszych pracowników takich jak: akcje charytatywne, benefity, itp.,
dbamy o zdrowie, dlatego od poniedziałku do piątku mamy owoce w firmie.","Match-Trade Technologies
Przewiń do profilu firmy
Jesteśmy firmą z branży fintech, dostarczającą zaawansowane systemy transakcyjne dla rynku Forex, kontraktów CFD, kryptowalut oraz akcji. Tworzymy własne środowisko technologiczne i jesteśmy autorem platformy tradingowej opartej o technologię PWA. Szeroki zakres oferowanych przez nas usług stwarza dla naszych pracowników możliwości uczestniczenia w różnorodnych projektach, nie tylko dzięki wykorzystaniu różnych technologii (w tym nowoczesnej technologii Blockchain), ale także dzięki pracy z biznesami z całego świata. Posiadamy swoje biuro w Warszawie i Poznaniu.",
1004147010,"https://www.pracuj.pl/praca/java-gosu-developer-warszawa,oferta,1004147010?s=1081ea4f&searchId=MTc0OTMwMjM3MzIzMi45ODM2&ref=top_boosterAI_L0_4_1_1",Java/GOSU Developer,ALTEN PolskaO firmie,Warszawa(mazowieckie),,"umowa o pracę, kontrakt b2b",pełny etat,"specjalista (mid / regular), starszy specjalista (senior)",praca hybrydowa,,,,,,,['Specjalizacje:\nBackend'],,,,,,,,"['Java', 'GOSU', 'Oracle', 'PostgreSQL']","['Gradle', 'Maven', 'JavaScript', 'TypeScript', 'RxJS', 'HTML']","['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'ubezpieczenie na życie', 'opieka stomatologiczna', 'program emerytalny', 'wyprawka dla dziecka', 'program rekomendacji pracowników', 'Platforma zakupowa Medicover Benefits']","Twój zakres obowiązków
Projektowanie i implementacja rozwiązań zgodnie z wymaganiami
Udział w code review, retrospektywach
Zapewnienie jakości produktów, wsparcie testów akceptacyjnych i wdrożeń produkcyjnych
Utrzymywanie i aktualizacja dokumentacji technicznej systemów IT","Nasze wymagania
Min. 6 lat doświadczenia komercyjnego jako programista Java/JEE
Doświadczenie w pracy z GOSU (lub chęć nauki) - MUST HAVE
Bardzo dobra znajomość: Java/JEE, Spring, Hibernate, relacyjnych baz danych (Oracle/PostgreSQL)
Doświadczenie w pracy z Gradle lub Maven
Znajomość Kafki oraz doświadczenie z frontend developmentem (Angular) będzie dodatkowym atutem
Mile widziane
Podstawowa znajomość: JavaScript/TypeScript, RxJS, HTML5","To oferujemy
Umowę na pełen etat z możliwością wyboru formy zatrudnienia (UoP/B2B)
Stabilną i długoterminową współpracę
Pracę w modelu hybrydowy z Warszawy (1 dzień w tygodniu z biura)
Jasno zdefiniowaną ścieżkę kariery i możliwość rozwoju w czterech obszarach jako: Project Manager, Business Manager, Technical Leader oraz specjalista w swojej dziedzinie
Udział w konferencjach branżowych, szkoleniach i warsztatach oraz spotkaniach integracyjnych
Możliwość odbycia kursów i zdobycia certyfikacji
Możliwość relokacji w ramach lokalnych oddziałów ALTEN Polska","ALTEN Polska
Przewiń do profilu firmy
KIM JESTEŚMY?
ALTEN – Światowy lider usług inżynieryjnych i IT
Grupa ALTEN, założona w 1988 roku we Francji, jest wiodącym partnerem technologicznym, obsługującym największych klientów na świecie. W 2023 roku osiągnęła przychody przekraczające 4,07 miliarda euro i zatrudnia ponad 57 000 pracowników, w tym 88% inżynierów i ekspertów IT.
ALTEN Polska działa od 13 lat, wspierając innowacje, badania i rozwój oraz systemy IT swoich klientów. Posiada biura w Krakowie, Warszawie, Wrocławiu, Gdańsku i Poznaniu.
Obsługuje kluczowe branże, takie jak lotnicza, kosmiczna, przemysłowa, motoryzacyjna, kolejowa, energetyczna, finansowa, telekomunikacyjna i sprzedażowa.
Zakres ekspertyzy: analiza biznesowa, cyberbezpieczeństwo, sztuczna inteligencja, analiza danych i rozwiązania chmurowe, rozwój aplikacji, testowanie oprogramowania, zarządzanie projektami, oprogramowanie wbudowane, zarządzanie jakością, industrializacja, transformacja cyfrowa oraz inżynieria przemysłowa. Więcej informacji na http://www.altenpolska.pl","Dołącz do naszego zespołu i razem z nami twórz przyszłość technologii już dziś!
UWAGA: Uprzejmie informujemy, że skontaktujemy się z wybranymi kandydatami."
1004147146,"https://www.pracuj.pl/praca/service-asset-config-manager-warszawa-emilii-plater-53,oferta,1004147146?s=1081ea4f&searchId=MTc0OTMwMjM3MzIzMi45ODM2&ref=top_boosterAI_L3_5_1_1",Service Asset & Config. Manager,BEC PolandAbout the company,"Emilii Plater 53, Śródmieście, Warszawa(Masovian)",,contract of employment,full-time,specialist (mid / regular),hybrid work,immediate employment,,,,,запрошуємо працівників з україни,['Specializations:\nProject Management'],,,,,,,,[],[],"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'remote work opportunities', 'flexible working time', 'fruits', 'integration events', 'corporate gym', 'corporate sports team', 'no dress code', 'video games at work', 'coffee / tea', 'leisure zone', 'extra social benefits', 'holiday funds', 'redeployment package', 'birthday celebration', 'employee referral program', 'family picnics']","Your responsibilities
Manage asset lifecycle from procurement to disposal.
Collaborate with various teams to understand CMDB requirements.
Maintain CSDM 4.0 framework and CMDB practices.
Maintain and operate according to the SACM process and procedures.
Maintaining the integrity of the configuration management database (CMDB)
Ensures data quality, accuracy and completeness in the CMDB.
Capability of coaching and educating stakeholders about the CMDB usages.
Collaborating with cross-functional teams to identify and resolve assets & configuration management issues.
Ensure compliance with industry standards and company policies.","Our requirements
Preferably, you have a bachelor’s degree in IT, computer science, information systems, or related field.
A minimum of 2-3 years of experience in IT Service Management (preferable asset and configuration management)
Strong understanding of ITIL frameworks and best practices
First-rate analytical and problem-solving skills
Great knowledge of ServiceNow
A curious mind with an open nature and desire to knowledge-share with others
Fluent in English (written and spoken)
Ability to work independently and in a team environment.
Good facilitation, communication and interpersonal skills
Good stakeholder management skills.
Strong attention to detail and ability to multitask.
Optional
Proven track record of managing complex IT environments.
Familiarity with Agile and DevOps methodologies (Kanban)","What we offer
We offer a diverse range of benefits for our employees. Here are just a few of them.
Flexible working hours
Mental health support
Free lunch at the office
Professional development
Referral bonus up to PLN 10,000
PLN 600 on a benefit platform a month
Passion clubs and social events (Tennis, salsa dancing, board games, family picnics and more!)","BEC Poland
Scroll to company's profile
BEC is a financial technology company creating IT solutions for Danish banks. Together, we enable their customers to invest online, take out loans and transfer money. In other words, everything it takes to run a bank.
We have 1,700+ employees spread across five locations in Denmark and Poland. We collaborate in a flat hierarchy with a high degree of mutual trust. Here, great ideas have no rank, and we invite everybody to chip in to create the strongest banking solutions for Danish society.","What does the recruitment process look like?
Send us your CV: We want to get to know you!
Screening call: Let’s chat and see if we’re a match.
Meet your future manager and team: See who you’ll be working closely with.
Personality and cognitive test: Let’s learn more about you.
Meet our talent partner and your future manager once more: Get feedback on your test results.
Time to sign the contract: We’re ready to welcome to BEC!"
1004146258,"https://www.pracuj.pl/praca/c%2b%2b-developer-branza-elektroniczna-warszawa,oferta,1004146258?s=1081ea4f&searchId=MTc0OTMwMjM3MzIzMi45ODM2&ref=top_boosterAI_L0_6_1_1",C++ Developer | Branża Elektroniczna |,Edge One Solutions Sp. z o.o.O firmie,Warszawa(mazowieckie),,kontrakt b2b,pełny etat,"specjalista (mid / regular), starszy specjalista (senior)",praca hybrydowa,praca od zaraz,,,,,,['Specjalizacje:\nBackend'],,,,,,,,['C++'],"['C#', 'Linux']","['dofinansowanie zajęć sportowych', 'prywatna opieka medyczna', 'ubezpieczenie na życie', 'elastyczny czas pracy', 'spotkania integracyjne']","Twój zakres obowiązków
Utrzymanie i rozwój warstwy middleware oraz aplikacji broadcastowych,
Analiza i naprawa błędów oprogramowania,
Praca z nowoczesnymi technologiami i udział w projektach mających globalny zasięg.","Nasze wymagania
Minimum 5-letnie doświadczenie w rozwoju oprogramowania,
Bardzo dobra praktyczna znajomość nowoczesnego języka C++ (co najmniej C++11),
Praktyczne doświadczenie w tworzeniu rozwiązań wielowątkowych,
Doświadczenie w korzystaniu z systemów kontroli wersji (perforce),
Biegła znajomość języka angielskiego,
Dobre umiejętności komunikacyjne, umiejętność pracy w zespole,
Umiejętność debugowania GDB, analiza logów.
Mile widziane
Doświadczenie w pracy ze standardami telewizji cyfrowej (DVB, ATSC, ISDB),
Praktyczna znajomość języka C#,
Doświadczenie w pracy z systemem Linux,
Znajomość frameworka graficznego EFL,
CMake, meson.","To oferujemy
Otrzymasz całościowe wsparcie Service Delivery Managera, który będzie wspomagać rozwój Twojej kariery,
Dofinansujemy lub opłacimy szkolenia, certyfikaty i udział w konferencjach,
Pomożemy w rozwoju umiejętności miękkich- Employer Advocacy Programme, Klub Poważnych Scrum Masterów,
Damy możliwość zmiany projektu #SmartChange, a po jego zakończeniu, znajdziemy nowy,
Zagwarantujemy też rozrywkę - wyjścia integracyjne, wydarzenia sportowe, webinary #edge1talks i wiele innych,
Lubimy wspierać pasje, dlatego współfinansujemy inicjatywy naszych pracowników (np. Złombol) #edgeneration,
Zachęcamy też do uprawiania sportów poprzez pomoc w organizacji klubów czy wynajem sal,
Zdrowie jest najważniejsze, więc zapewniamy prywatną opiekę medyczną, kartę sportową, ubezpieczenie oraz możliwość skorzystania z konsultacji psychologicznych (HearMe),
Przyjemnym dodatkiem do wynagrodzenia będą punkty przyznawane na platformie benefitowej do wykorzystania zgodnie z Twoimi potrzebami,
Ze względu na wiele międzynarodowych projektów zachęcamy do udziału w bezpłatnych lekcjach angielskiego.","Edge One Solutions Sp. z o.o.
Przewiń do profilu firmy
Społeczność Edge One Solutions powstała z miłości do nowych technologii.
Jesteśmy doświadczonym partnerem w zakresie budowania zespołów IT oraz uzupełniania działających już teamów o brakujące kompetencje. Dzięki zdobytemu know – how jesteśmy w stanie rozwijać projekty naszych klientów – szybko i skutecznie, zachowując przy tym najwyższy standard pracy.
Liczymy ponad 350 ekspertów, a w Grupie Euvic, której jesteśmy częścią, jest nas już 5500.
Indywidualne podejście pozwala na dopasowanie projektów do umiejętności, przez co realnie wspieramy się w rozwoju kompetencji.","Nie spełniasz wszystkich wymagań, a projekt Cię zainteresował?
Nie wahaj się i aplikuj. Porozmawiajmy!"
1004147019,"https://www.pracuj.pl/praca/administrator-microsoft-azure-warszawa,oferta,1004147019?s=1081ea4f&searchId=MTc0OTMwMjM3MzIzMi45ODM2&ref=top_boosterAI_L0_7_1_1",Administrator Microsoft Azure,RANDLAB SOFTWARE sp. z o.o.O firmie,Warszawa(mazowieckie),,kontrakt b2b,część etatu,"specjalista (mid / regular), starszy specjalista (senior)",praca hybrydowa,praca od zaraz,,,,,,['Specjalizacje:\nIT admin'],,,,,,,"130,00 – 155,00 zł","['Microsoft Azure', 'PowerShell', 'M365', 'Azure Governance', 'Cloud Adoption Framework (CAF)', 'Entra ID']",[],['dofinansowanie szkoleń i kursów'],"Twój zakres obowiązków
Tworzenie i opiniowanie dokumentacji (głównie Azure Landing Zone)
Wdrażanie i utrzymywanie Azure Governance
Koordynacja pracy zespołów kompetencyjnych M365 i Azure
Tworzenie i aktualizacja dokumentacji konfiguracji i procesów","Nasze wymagania
Min. 3 lata doświadczenia w rolach związanych z administrowaniem Microsoft Azure
Doświadczenie we wdrażaniu Azure Landing Zone w dużych organizacjach
Doświadczenie we wdrażaniu metodologii Cloud Adoption Framework (CAF)
Znajomość PowerShell i narzędzi administracyjnych Azure/M365
Znajomość zagadnień bezpieczeństwa w środowiskach chmurowych
Doświadczenie w zarządzaniu konfiguracją (policy, Entra ID)
Mile widziane
Doświadczenie w tworzeniu i utrzymaniu dokumentacji konfiguracyjnej i procesowej
Umiejętność koordynacji zespołów kompetencyjnych (Azure/M365)",,"RANDLAB SOFTWARE sp. z o.o.
Przewiń do profilu firmy
Szukamy doświadczonego Administratora Microsoft Azure do pracy w środowisku enterprise. Projekt dotyczy wdrażania i utrzymania Azure Landing Zone oraz Governance, z silnym naciskiem na bezpieczeństwo, dokumentację i współpracę z zespołami M365.",
1004141182,"https://www.pracuj.pl/praca/senior-software-engineer-full-stack-ads-planning-warszawa-emilii-plater-53,oferta,1004141182?s=1081ea4f&searchId=MTc0OTMwMjM3MzIzMi45ODM2","Senior Software Engineer - Full Stack, Ads Planning",GoogleAbout the company,"Emilii Plater 53, Śródmieście, Warszawa(Masovian)",,contract of employment,full-time,"specialist (mid / regular), senior specialist (senior)",hybrid work,,,,,,,"['Specializations:\nBackend, Full-stack']",,,,,,,,"['Java', 'Python', 'Golang', 'C++', 'HTML', 'JavaScript', 'TypeScript', 'CSS']",[],"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'life insurance', 'remote work opportunities', 'fruits', 'corporate products and services at discounted prices', 'integration events', 'dental care', 'corporate gym', 'corporate sports team', 'retirement pension plan', 'saving & investment scheme', 'corporate library', 'no dress code', 'coffee / tea', 'drinks', 'parking space for employees', 'leisure zone', 'extra social benefits', 'meal passes', 'redeployment package', 'employee referral program', 'opportunity to obtain permits and licenses', 'charity initiatives', 'extra leave']","Your responsibilities
Participate or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Coordinate with product, UX, and sales leads for product development.
Mentor and ramp-up junior engineers.","Our requirements
Bachelor’s degree or equivalent practical experience.
5 years of experience with software development in one or more programming languages, and with data structures/algorithms.
3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.
3 years of experience with full stack development across back-end such as Java, Python, Golang, or C++ codebases, and front-end experience including JavaScript or TypeScript, HTML, CSS or equivalent.
Optional
Master's degree or PhD in Computer Science or related technical field.
Experience in Data Analytics, Ads, F1, Napa, Tangle.
Experience in A/B testing, and Google Ads system.
Understanding of Google ads products and related infrastructure.",,,
1004095064,"https://www.pracuj.pl/praca/senior-scrum-master-warszawa-inflancka-4a,oferta,1004095064?s=1081ea4f&searchId=MTc0OTMwMjM3MzIzMi45ODM2",Senior Scrum Master,KMD Poland Sp. z o.o.About the company,"Inflancka 4a, Śródmieście, Warszawa(Masovian)",,b2b contract,full-time,specialist (mid / regular),home office work,,,,,,запрошуємо працівників з україни,['Specializations:\nAgile'],"Model of payment:
basic salary",,,,,,"108,00 – 145,00 zł","['Agile', 'Scrum']",[],"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'life insurance', 'remote work opportunities', 'flexible working time', 'fruits', 'integration events', 'dental care', 'corporate sports team', 'mobile phone available for private use', 'computer available for private use', 'retirement pension plan', 'no dress code', 'coffee / tea', 'leisure zone', 'extra social benefits', 'holiday funds', 'employee referral program', 'charity initiatives', 'MyBenefit Cafeteria system', '21 days full-paid stand-by']","Your responsibilities
A true Scrum Master
Ensuring that the Scrum way of working and an Agile mindset are understood and followed
Utilizing tools, ideas and concepts from different Agile frameworks that fit the Teams and the organisation
Ensuring that Teams take ownership of their process, work, and environment, improve it daily, and finally self-organize
Working with Teams to focus on delivering business value to the customers as a role model in the areas of collaboration, feedback & transparency
Supporting domain managers in ensuring predictability and delivery
Working with metrics to promote improvements based on actual data
Creating an environment for people and teams to flourish
Ensuring good communication, helping others deal with conflicts and risks
Helping to foster relations and trust between teams and locations
Working with other Scrum Masters product-wide
Collaborating with business, architecture, and development experts","Our requirements
Have a minimum of 3 years of professional experience in the role of Scrum Master, preferably in more than one environment
Are ready to work with live scrum values, not only the process itself
Have some knowledge of different Agile approaches, tools, and techniques
Have experience related to working with people, supporting valuable interactions and good communication as well as dealing with more difficult situations
Are ready to work on your own on different initiatives and tasks
Have experience will planning, helping teams ensure delivery and risk management
Are great at collaboration and teamwork
Are open-minded, true listener with a natural curiosity
Are flexible and able to adapt to individuals’, teams’ and organization’s needs
Can give and receive high-quality feedback
Are fluent in both English and Polish
Optional
Have a good sense of humor and a positive attitude
Feel the drive to learn new things
Have some experience in designing and running workshops and trainings
Are able to utilize various experiences and techniques from different areas while working with a team","What we offer
Professional Development
Grow in your role
Enjoy on-site meetups
Participate in conferences in Poland and abroad
Take part in the Internal Mobility Program
Scandinavian Culture and Workplace
Earn Competitive hourly rates/salary
Make the most of your work and life
Sport & passion communities and CSR initiatives
Work in a human-oriented company
Use high-level equipment
Feel good at green and ergonomic office and enjoy surprise treats
Meaningful and impactful work
Make an impact that lasts - create and implement technological solutions
And improve the lives of millions of people in the public and private sectors
Talented and Trusted People
Cooperate with open-minded colleagues
Work with experienced managers in an atmosphere full of trust","KMD Poland Sp. z o.o.
Scroll to company's profile
KMD Poland is the largest foreign-affiliated branch at KMD Group. We are responsible for important solutions and processes in the IT, R&D, Finance, HR, and Support areas. We help Nordic business and the public sector make another major leap in their digital evolution.
KMD (an NEC company) is committed to providing equal opportunities. Hence, we invite all qualified interested applicants to apply for career opportunities. At KMD all aspects of employment and cooperation including the decision to hire/cooperate with will be based on merit, competence, performance, and business needs without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age,
Hooray! You’ve reached out the end of our job ad! But it’s not over yet! Now click Apply button and see why its #GOODTOBEINKMD! 😊",
1004141156,"https://www.pracuj.pl/praca/senior-software-engineer-cloud-nodeos-warszawa-emilii-plater-53,oferta,1004141156?s=1081ea4f&searchId=MTc0OTMwMjM3MzIzMi45ODM2","Senior Software Engineer - Cloud, NodeOS",GoogleAbout the company,"Emilii Plater 53, Śródmieście, Warszawa(Masovian)",,contract of employment,full-time,"specialist (mid / regular), senior specialist (senior)",hybrid work,,,,,,,['Specializations:\nBackend'],,,,,,,,"['C', 'C++']",[],"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'life insurance', 'remote work opportunities', 'fruits', 'corporate products and services at discounted prices', 'integration events', 'dental care', 'corporate gym', 'corporate sports team', 'retirement pension plan', 'saving & investment scheme', 'corporate library', 'no dress code', 'coffee / tea', 'drinks', 'parking space for employees', 'leisure zone', 'extra social benefits', 'meal passes', 'redeployment package', 'employee referral program', 'opportunity to obtain permits and licenses', 'charity initiatives', 'extra leave']","Your responsibilities
Write product or system development code. Improve existing and create new integration and canary tests, monitoring and metrics.
Provide leadership in analyzing, auditing, and evolving the overall Node execution model at the OS level to be able to drive build out of a Cloud-empowering Node.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Lead the development and extension of cornerstone NodeOS capabilities, including engineering into open-source aspects, Google-specific daemons, and optionally the Linux Kernel.
Analyze, design, implement, and automate rollouts, and troubleshoot computer systems. Redesign and refactor existing systems to improve performance and parallelism.","Our requirements
Bachelor’s degree or equivalent practical experience.
5 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.
5 years of experience with software development in one or more programming languages, and with data structures/algorithms.
Experience in Linux OS development and C/C++.
Optional
Master's degree or PhD in Computer Science or related technical field.
1 year of experience in a technical leadership role.
Experience developing accessible technologies.",,,
